Card,Price ($),FPS,VRAM (GB),TDP,Power Efficiency (FPS/W),Price Efficiency (FPS/$),Average Efficiency,URL
Radeon RX 6750 XT,221.00,102.9,12,250,0.4116,0.4656,0.4386,https://www.ebay.com/itm/XFX-Speedster-QICK319-Radeon-RX-6750XT-CORE-Gaming-Graphics-Card-12GB-GDDR6-/296519038224
GeForce RTX 3070 Ti,250.00,104,8,290,0.3586,0.4160,0.3873,https://www.ebay.com/itm/EVGA-GeForce-RTX-3070-VENTUS-3X-OC-8GB-GDDR6-Graphics-Card-/315590025314
Radeon RX 6800 XT,299.99,122.7,16,300,0.4090,0.4090,0.4090,https://www.ebay.com/itm/AMD-Radeon-RX-6800-XT-GDDR6-16GB-72-Compute-Units-Gaming-Graphics-Card-/116193499678
GeForce RTX 3080,300.00,117,10,320,0.3656,0.3900,0.3778,https://www.ebay.com/itm/GIGABYTE-GeForce-RTX-3080-TURBO-10GB-GDDR6X-Graphics-Card-server-ready-/315388181856
Radeon RX 6800,265.00,114.6,16,250,0.4584,0.4325,0.4455,https://www.ebay.com/itm/PowerColor-Fighter-AMD-Radeon-RX-6800-16GB-Read-Description-/405122868184
Radeon RX 7700 XT,329.99,116.1,12,245,0.4739,0.3518,0.4128,https://www.ebay.com/itm/PowerColor-Fighter-AMD-Radeon-RX-7700-XT-12GB-GDDR6-Graphics-Card-/315418869027
GeForce RTX 3080 Ti,249.97,123.9,12,350,0.3540,0.4957,0.4248,https://www.ebay.com/itm/Gigabyte-GeForce-RTX-3080-Ti-12GB-Gaming-OC-GPU-B9-B31-Damaged-PCIE-Not-/156321785427
GeForce RTX 3080 12GB,249.97,122.1,12,400,0.3052,0.4885,0.3969,https://www.ebay.com/itm/Gigabyte-GeForce-RTX-3080-Ti-12GB-Gaming-OC-GPU-B9-B31-Damaged-PCIE-Not-/156321785427
Radeon RX 7800 XT,405.50,129.3,16,263,0.4916,0.3189,0.4052,https://www.ebay.com/itm/Sapphire-VCX-21330-01-20G-PULSE-RADEON-RX-7800-XT-16GB-GDDR6-Repaired-/126338680385
GeForce RTX 4060 Ti,279.99,100.4,8,160,0.6275,0.3586,0.4930,https://www.ebay.com/itm/GIGABYTE-WindForce-Nvidia-GeForce-RTX-4060-Ti-OC-8Gb-GDDR6-Graphics-Card-GPU-/326108474739
Radeon RX 6900 XT,399.99,124.6,16,300,0.4153,0.3115,0.3634,https://www.ebay.com/itm/PowerColor-Red-Devil-AMD-Radeon-RX-6900-XT-16GB-GDDR6-Graphics-Card-/285940285695
GeForce RTX 4070 Super,472.49,134.2,12,220,0.6100,0.2840,0.4470,https://www.ebay.com/itm/Zotac-Twin-Edge-OC-GeForce-RTX-4070-Super-12GB-ZT-D40700H-10M-Used-/395524505030
Radeon RX 7900 GRE,499.00,135.8,16,260,0.5223,0.2721,0.3972,https://www.ebay.com/itm/ASRock-Challenger-Radeon-RX-7900-GRE-16GB-GDDR6-PCIe-4-0-Video-Graphic-Card-GPU-/204799079627
GeForce RTX 4060 Ti 16GB,374.97,100.6,16,160,0.6287,0.2683,0.4485,https://www.ebay.com/itm/PNY-NVIDIA-GeForce-RTX-4060-Ti-GDDR6-16GB-Graphics-Card-GPU-VCG4060T16DFXPB1-/145905544742
GeForce RTX 4070,450.00,122,12,200,0.6100,0.2711,0.4405,https://www.ebay.com/itm/MSI-GeForce-RTX-4070-Ventus-2X-12GB-GDDR6X-/204904403016
GeForce RTX 4070 Ti,524.99,138.3,12,285,0.4853,0.2634,0.3744,https://www.ebay.com/itm/MSI-Nvidia-GeForce-RTX-4070-Ti-SUPRIM-X-12GB-GDDR6X-Graphics-Card-/276404999588
Radeon RX 7900 XT,625.00,143.9,20,315,0.4568,0.2302,0.3435,https://www.ebay.com/itm/XFX-Speedster-MERC-310-AMD-Radeon-RX-7900-XT-Black-Edition-20GB-GDDR6-/235482516415
GeForce RTX 3090 Ti,625.00,130.5,24,450,0.2900,0.2088,0.2494,https://www.ebay.com/itm/EVGA-GeForce-RTX-3090-FTW3-ULTRA-GAMING-24GB-GDDR6X-Graphics-Card-/296477573565
GeForce RTX 4070 Ti Super,607.77,142.3,16,285,0.4993,0.2341,0.3667,https://www.ebay.com/itm/Gaming-Computer-Nvidia-Geforce-RTX-4070-Super-4060-4060Ti-Ryzen-1TB-32GB-/235658719432?var=0
GeForce RTX 3090,600.00,125.5,24,350,0.3586,0.2092,0.2839,https://www.ebay.com/itm/PNY-GeForce-RTX-3090-XLR8-Gaming-EPIC-X-RGB-Triple-Fan-Read-description-/176486793708
Radeon RX 6950 XT,589.99,130.5,16,335,0.3896,0.2212,0.3054,https://www.ebay.com/itm/PowerColor-AMD-Radeon-RX-6950-XT-Red-Devil-16GB-GDDR6-PCIe-4-0-Graphic-Card-/266365160265
Radeon RX 7900 XTX,695.00,149,24,355,0.4197,0.2144,0.3170,https://www.ebay.com/itm/GIGABYTE-Radeon-RX-7900-XTX-GAMING-OC-24GB-GDDR6-Graphics-Card-/145911559370
