Module,Score,Price ($),Price Efficiency (Score/$),URL
Essencore Limited KD5AGU880-60A300G 16GB,41678,,,
Kingston 9905782-029.A00G 32GB,41243,,,
Corsair CMK96GX5M4B5600C40 24GB,41234,,,
Kingston 9905782-105.A00G 32GB,41214,,,
Patriot Memory (PDP Systems) 6400 Series 32GB,40546,,,
A-DATA Technology AX5U5200C3816G-CLARWH 16GB,40047,,,
AMD R5S532G5600U2S 32GB,39856,,,
A-DATA Technology AX5U6000C4016G-DCLAWH 16GB,39668,,,
Corsair CMP64GX5M2X6000Z30 32GB,39659,,,
A-DATA Technology AX5U6400C3216G-DCCAR 16GB,39401,,,
Corsair CMT64GX5M4B5600Z36 16GB,39197,,,
Kingston 9965794-036.A00G 48GB,39058,,,
A-DATA Technology AX5U6000C3032G-DCLARWH 32GB,38872,,,
Team Group Inc. UD5-7800 16GB,38803,,,
Apacer Technology GD2.47312H.003 16GB,38552,,,
A-DATA Technology AX5U6400C3216G-SLABWH 16GB,38548,,,
A-DATA Technology AX5U6000C4016G-CLAWH 16GB,38470,,,
Corsair CMH96GX5M2B6000C30 48GB,38381,,,
Wilk Elektronik S.A. IR-6400D564L32/32G 32GB,38324,,,
A-DATA Technology AD5U560016G8-BHYA 16GB,38221,,,
A-DATA Technology AX5U6000C3616G-DCLARBK 16GB,38187,,,
Kingston 9905789-096.A00G 48GB,38170,,,
Essencore Limited KD5AGUA80-76B360J 16GB,38076,,,
Crucial Technology CT16G56C46S5.C8G 16GB,38073,,,
Gloway International Co. Ltd. VGM5UH60C30AG-DTACWN 16GB,37978,,,
Corsair CMT32GX5M2B5200Z40 16GB,37899,,,
A-DATA Technology AX5U6000C4016G-CLABK 16GB,37886,,,
Micron Technology MTC16C2085S1SC56BG1 32GB,37855,,,
Golden Empire CL34-42-42 D5-6800 16GB,37764,,,
A-DATA Technology AX5U6000C3016G-B 16GB,37740,,,
Corsair CMT64GX5M2B6000Z40 32GB,37727,,,
A-DATA Technology AX5U5200C3816G-CLABK 16GB,37719,,,
Wilk Elektronik S.A. IR-6000D564L30S/16G 16GB,37684,,,
