Name,Price ($),Cores,Score,Thread Mark,TDP,Socket,Power Efficiency (FPS/W),Price Efficiency (FPS/$),Average Efficiency,URL,Price to Performance Ratio (Score/$)
AMD Ryzen Threadripper PRO 7995WX,"8,199.00",96,154671,3952,350,sTR5,441.9171,18.8646,230.3909,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-Pro-7995WX-96-Core-2-5GHz-sTR5-Processor-Unlocked-/226031026402,18.8646
AMD Ryzen Threadripper PRO 7985WX,"5,999.00",64,135597,3998,350,sTR5,387.4200,22.6033,205.0117,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-Pro-7985WX-64-Core-3-2GHz-sTR5-Processor-Unlocked-/335436185739,22.6033
AMD Ryzen Threadripper 7980X,"3,499.00",64,134981,3988,350,sTR5,385.6600,38.5770,212.1185,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-7980X-64-Core-3-2GHz-sTR5-Processor-Unlocked-/335196002126,38.5770
AMD Ryzen Threadripper 7970X,"1,150.00",32,97534,4131,350,sTR5,278.6686,84.8122,181.7404,https://www.ebay.com/itm/Gigabyte-TRX50-AERO-D-Support-AMD-Ryzen-Threadripper-PRO-7000-7960x-7970x-CPU-/126429480639,84.8122
AMD Ryzen Threadripper PRO 7975WX,"4,981.99",32,94834,4066,350,sTR5,270.9543,19.0354,144.9948,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-PRO-7975WX-processor-4-GHz-128-MB-L3-100-000000453-/176448722172,19.0354
AMD Ryzen Threadripper 7960X,"1,150.00",24,83308,4091,350,sTR5,238.0229,72.4417,155.2323,https://www.ebay.com/itm/Gigabyte-TRX50-AERO-D-Support-AMD-Ryzen-Threadripper-PRO-7000-7960x-7970x-CPU-/126429480639,72.4417
AMD Ryzen Threadripper PRO 7965WX,"1,899.00",24,82097,3984,350,sTR5,234.5629,43.2317,138.8973,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-Pro-7965WX-24-Core-4-2GHz-sTR5-Processor-Unlocked-/335480390495,43.2317
AMD Ryzen Threadripper 3990X,"1,799.99",64,80892,2564,280,sTRX4,288.9000,44.9402,166.9201,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-3990x-64-cores-128-threads-2-9ghz-7nm-strx4-CPU-processor-/235666580747,44.9402
Intel Core i9-14900KS,528.75,24,63255,4885,150,FCLGA1700,421.7000,119.6312,270.6656,https://www.ebay.com/itm/Intel-Core-i9-14900KS-Desktop-Processor-24-cores-8-P-cores-16-E-cores-/196464999724,119.6312
AMD Ryzen Threadripper 3970X,649.95,32,63240,2666,280,sTRX4,225.8571,97.2998,161.5785,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-PRO-3955WX-16-core-3-9-GHz-sWRX8-Processor-9JJ-160-/156134376701,97.2998
AMD Ryzen 9 7950X,479.99,16,62799,4281,170,AM5,369.4059,130.8340,250.1199,https://www.ebay.com/itm/AMD-Ryzen-9-7950X-16-core-32-Thread-4-5GHz-5-7-GHz-Max-Boost-Socket-AM5-/387231154472,130.8340
AMD Ryzen 9 7950X3D,"1,579.99",16,62410,4141,120,AM5,520.0833,39.5003,279.7918,https://www.ebay.com/itm/AMD-RYZEN-9-7950X3D-Gaming-PC-NVIDIA-RTX-4090-32GB-DDR5-6000MHz-RAM-2TB-SSD-WiFi-/126592969966?var=427636511656,39.5003
Intel Core i9-13900KS,539.97,24,61747,4755,150,FCLGA1700,411.6467,114.3526,262.9996,https://www.ebay.com/itm/Intel-Core-i9-13900KS-Desktop-Processor-24-cores-8-P-cores-16-E-cores-36MB-/196481492860,114.3526
Intel Core i9-14900K,421.94,24,60625,4752,125,FCLGA1700,485.0000,143.6816,314.3408,https://www.ebay.com/itm/Intel-Core-i9-14900K-14th-Gen-24-Core-32-Thread-3-2GHz-LGA-1700-Processor-Used-/296228514218,143.6816
Intel Core i9-14900KF,699.99,24,59940,4720,125,FCLGA1700,479.5200,85.6298,282.5749,https://www.ebay.com/itm/Intel-Core-i9-14900KF-Unlocked-Desktop-Processor-Up-6-0-GHz-max-clock-speed-/126166865081,85.6298
AMD Ryzen Threadripper PRO 7955WX,"3,993.76",16,59809,4089,350,sTR5,170.8829,14.9756,92.9292,https://www.ebay.com/itm/HP-Z6-G5-Tower-Workstation-AMD-R-7955WX-16GB-RAM-512GB-SSD-W11P-9J2K4UT-ABA-/126333244749,14.9756
Intel Core i9-13900K,229.90,24,59237,4629,125,FCLGA1700,473.8960,257.6642,365.7801,https://www.ebay.com/itm/Intel-Core-i9-13900K-13th-Gen-24-cores-8-P-cores-16-E-cores-36M-Cache-3-/387233779197,257.6642
Intel Core i9-13900KF,327.82,24,58591,4621,125,FCLGA1700,468.7280,178.7292,323.7286,https://www.ebay.com/itm/Intel-Core-i9-13900KF-LGA1700-24-Core-48-Thread-Desktop-Processor-Used-/386899998231,178.7292
AMD Ryzen Threadripper 3960X,369.15,24,54870,2681,280,sTRX4,195.9643,148.6388,172.3016,https://www.ebay.com/itm/ASUS-PRIME-TRX40-PRO-S-support-3rd-Gen-AMD-Ryzen-Threadripper-3960x-3970x-3990x-/395261243374,148.6388
Intel Core i7-14700K,229.90,20,53464,4476,125,FCLGA1700,427.7120,232.5533,330.1327,https://www.ebay.com/itm/Intel-Core-i7-14700K-Unlocked-Desktop-Processor-Up-5-6-GHz-Sales-/355894281729,232.5533
Intel Core i7-14700KF,599.99,20,53347,4477,125,FCLGA1700,426.7760,88.9131,257.8446,https://www.ebay.com/itm/Intel-Core-i7-14700KF-20-Cores-3-4GHz-LGA-1700-CPU-Processor-BX8071514700KF-/395101260687,88.9131
AMD Ryzen 9 7900X,250.00,12,51823,4263,170,AM5,304.8412,207.2920,256.0666,https://www.ebay.com/itm/AMD-Ryzen-9-7900X3D-12-Core-24-Thread-Desktop-Processor-/204851705232,207.2920
Intel Core i9-13900F,"3,741.59",24,51190,4436,65,FCLGA1700,787.5385,13.6813,400.6099,https://www.ebay.com/itm/Alienware-Aurora-R16-Gaming-Desktop-Intel-Core-i9-13900F-32GB-DDR5-RAM-1T-/156208552776,13.6813
AMD Ryzen Threadripper PRO 7945WX,"3,386.70",12,49599,4086,350,sTR5,141.7114,14.6452,78.1783,https://www.ebay.com/itm/HP-Z6-G5-Tower-Workstation-AMD-R-7945WX-16GB-RAM-512GB-SSD-W11P-9J2K0UT-ABA-/126333232967,14.6452
AMD Ryzen 9 7900,250.00,12,48869,4152,65,AM5,751.8308,195.4760,473.6534,https://www.ebay.com/itm/AMD-Ryzen-9-7900X3D-12-Core-24-Thread-Desktop-Processor-/204851705232,195.4760
Intel Core i9-14900F,878.99,24,48657,4584,65,FCLGA1700,748.5692,55.3556,401.9624,https://www.ebay.com/itm/CPU-INTEL-Desktop-Core-i9-i9-14900F-Raptor-Lake-2000-MHz-Cores-24-36MB-/395526552907,55.3556
