Card,Price ($),FPS,VRAM (GB),W,Power Efficiency (FPS/W),Price Efficiency (FPS/$),Average Efficiency,URL
Radeon RX 5700,10000,64.5,8,180,0.3583,1.3163,0.8373,https://www.ebay.com/itm/Powercolor-ITX-RX-5700-8Gb-gddr6-READ-/226250877901
Radeon RX 5700 XT,10000,73.3,8,225,0.3258,1.2424,0.7841,https://www.ebay.com/itm/AMD-Gigabyte-Radeon-RX-5700-XT-Gaming-OC-8GB-GDDR6-Graphics-Card-GPU-Parts-84-/285974568827
GeForce RTX 2070 Super,10000,77.4,8,215,0.36,1.1057,0.7329,https://www.ebay.com/itm/MSI-NVIDIA-GeForce-RTX-2070-SUPER-VENTUS-GP-OC-8GB-GDDR6-PARTS-/186584510398
GeForce GTX 980,10000,28.9,4,165,0.1752,1.0321,0.6037,https://www.ebay.com/itm/EVGA-NVIDIA-GeForce-GTX-980-4GB-GDDR5-Graphics-Video-Card-04G-P4-2983-KR-PARTS-/156253456488
Radeon RX Vega 56,10000,50.6,8,210,0.241,1.012,0.6265,https://www.ebay.com/itm/GIGABYTE-AMD-Radeon-RX-Vega-56-8GB-HBM2-Graphics-Card-GV-RXVEGA56-8GD-B-/126548703587
GeForce RTX 2070,10000,69.8,8,175,0.3989,0.9973,0.6981,https://www.ebay.com/itm/MSI-Geforce-Gaming-RTX-2070-Duke-8GB-GDDR6-OC-PARTS-/335498094816
Radeon RX 590,10000,39.3,8,225,0.1747,0.9827,0.5787,https://www.ebay.com/itm/PowerColor-Radeon-RX-590-8GB-GDDR5-Red-Dragon-Graphics-Card-No-Power-/256578123476
GeForce RTX 2080,10000,82.5,8,215,0.3837,0.9707,0.6772,https://www.ebay.com/itm/ASUS-GeForce-RTX-2080-DUAL-8GB-GDDR6-Graphics-Card-HDMI-DisplayPort-/186375247762
Radeon RX 6700 XT,10000,99.1,12,230,0.4309,0.9092,0.6701,https://www.ebay.com/itm/AMD-RADEON-RX-6700-XT-12GB-GDDR6-PCI-E-4-0-X16-GRAPHICS-CARD-/387185332430
GeForce GTX 970,10000,26.5,4,145,0.1828,0.8833,0.5331,https://www.ebay.com/itm/EVGA-GeForce-GTX-970-4-GB-PCIe-X16-Graphics-Card-/375550875756
Radeon RX 580 8GB,10000,35.3,8,185,0.1908,0.8825,0.5366,https://www.ebay.com/itm/Shappire-Nitro-Radeon-RX-580-Graphics-Card-8-GB-GDDR5-/335497622957
GeForce GTX 1660 Ti,10000,46.6,6,120,0.3883,0.8473,0.6178,https://www.ebay.com/itm/NVIDIA-GeForce-GTX-1660-Ti-6GB-GDDR6-Graphics-Card-HP-OEM-L34258-001-DOA-/256578433477
GeForce GTX 1080,10000,53,8,180,0.2944,0.8154,0.5549,https://www.ebay.com/itm/PNY-GeForce-GTX-1080-8GB-GDDR5-Graphics-Card-UNTESTED-/176480227090
Radeon RX 6650 XT,10000,77.7,8,180,0.4317,0.777,0.6043,https://www.ebay.com/itm/MSI-Radeon-RX-6650-XT-MECH-2X-8G-OC-8GB-GDDR6-Graphics-Card-PARTS-READ-/204878246535
Radeon RX 6800,10000,114.6,16,250,0.4584,0.7691,0.6138,https://www.ebay.com/itm/Dell-AMD-Radeon-RX-6800-XT-16gb-GDDR6-Graphics-Card-/305653469731
GeForce RTX 3060,10000,72.3,12,170,0.4253,0.7454,0.5854,https://www.ebay.com/itm/BURNED-ZOTAC-GAMING-GeForce-RTX-3060-Twin-Edge-OC-12GB-GDDR6-Graphics-Card-/335498073592
Radeon RX 570 4GB,10000,28.1,4,150,0.1873,0.7395,0.4634,https://www.ebay.com/itm/Mining-AMD-Radeon-RX-570-4GB-HDMI-Cryptomining-Graphics-Card-WORKS-/166090277620
GeForce GTX 1070 Ti,10000,51.1,8,180,0.2839,0.73,0.507,https://www.ebay.com/itm/EVGA-GeForce-GTX-1070-TI-SC-GDDR5-8GB-Gaming-Graphics-Card-parts-/226116975512
GeForce GTX 1660,10000,42.6,6,120,0.355,0.7101,0.5325,https://www.ebay.com/itm/Gigabyte-GeForce-1660-Ti-6GB-GDDR6-Graphics-Card-HDMI-DisplayPort-/186376649649
Radeon RX Vega 64,10000,56.7,8,295,0.1922,0.7087,0.4505,https://www.ebay.com/itm/XFX-Radeon-RX-Vega-64-8GB-HBM2-Graphics-Card-/256580105172
Intel Arc A750,10000,70.8,8,225,0.3147,0.7081,0.5114,https://www.ebay.com/itm/Sparkle-Technology-Intel-Arc-A750-TITAN-OC-Edition-8-GB-GDDR6-For-Parts-/387228742716
Radeon RX 6900 XT,10000,124.6,16,300,0.4153,0.6923,0.5538,https://www.ebay.com/itm/PowerColor-Red-Devil-AMD-Radeon-RX-6900-XT-16GB-GDDR6-Graphics-Card-/256562195565
GeForce RTX 2080 Ti,10000,96.3,11,250,0.3852,0.6879,0.5365,https://www.ebay.com/itm/EVGA-NVIDIA-GeForce-RTX-2080-Ti-11GB-GDDR5-Graphics-Card-/116259540818
Radeon RX 6600 XT,10000,74.7,8,160,0.4669,0.6294,0.5481,https://www.ebay.com/itm/Shyrrik-Full-Cover-GPU-Water-Block-XFX-Radeon-RX-6600-XT-Speedster-Merc-308-/404398739726?var=0
Radeon R9 390,10000,29.8,8,275,0.1084,0.5972,0.3528,https://www.ebay.com/itm/XFX-R9-390X-8GB-Gaming-Video-Graphics-Card-/135145430035
GeForce GTX 1070,10000,44.7,8,150,0.298,0.5961,0.447,https://www.ebay.com/itm/EVGA-GeForce-GTX-1070-SC-GAMING-Black-Edition-8GB-Graphics-Card-Screenshots-/135159770955
GeForce RTX 3080,10000,117,10,320,0.3656,0.5879,0.4768,https://www.ebay.com/itm/ASUS-GeForce-RTX-3080-10GB-GDDR6X-Graphics-Card-TUF-RTX3080-O10G-GAMING-/335498149987
GeForce GTX 1060 6GB,10000,32.1,6,120,0.2675,0.5836,0.4255,https://www.ebay.com/itm/HP-nVIDIA-GeForce-GTX-1060-Video-Card-3-GB-909616-001-/204902662209
Radeon VII,10000,69.5,16,300,0.2317,0.5792,0.4055,https://www.ebay.com/itm/AMD-Radeon-VII-16GB-HBM2-Graphics-Card-Original-Box-/405070266910
Radeon RX 5600 XT,10000,57.8,8,160,0.3612,0.5505,0.4558,https://www.ebay.com/itm/MSI-Radeon-RX-5600-XT-GAMING-MX-GDDR6-Graphics-Card-/235662123490
